,index,old_request_url,new_request_url,cleaned_old_request,cleaned_new_request
277,277,https://mc.yandex.com/watch/30044669?wmode=7&page-url=https%3A%2F%2Fwww.rosdistant.ru%2F&charset=utf-8&browser-info=pv%3A1%3Agdpr%3A14%3Avf%3Anw88wxnrj5w8iczvgmbc%3Afp%3A8395%3Afu%3A0%3Aen%3Autf-8%3Ala%3Aen-US%3Av%3A802%3Acn%3A1%3Adp%3A0%3Als%3A1272677442971%3Ahid%3A1065941655%3Az%3A-420%3Ai%3A20220518121909%3Aet%3A1652901550%3Ac%3A1%3Arn%3A52819830%3Arqn%3A1%3Au%3A1652901550804363833%3Aw%3A1354x683%3As%3A1366x768x24%3Ask%3A1%3Ahdl%3A1%3Ans%3A1652901537869%3Ads%3A208%2C659%2C587%2C0%2C1511%2C0%2C%2C6683%2C18%2C%2C%2C%2C9654%3Awv%3A2%3Aco%3A0%3Afip%3Aa81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-4bd84c89c35a312599d807af285e7b5f-ecc5835ead462bcb01f5b391dbba884e-5b56a9f28e63b1a76c5f94a136cc484e-61b9878bbce18de73aafc8582a198c0c-fc553f3f5a36936329305c4fd995c3e9-a81f3b9bcdd80a361c14af38dc09b309-5cbccea2ed3dd5c7a75380ef1cbfadf6-87f2ecdbff337b451a3c33faac458abd%3Arqnl%3A1%3Ast%3A1652901550%3At%3A%D0%A0%D0%BE%D1%81%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%82%20-%20%D0%B2%D1%8B%D1%81%D1%88%D0%B5%D0%B5%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE&t=gdpr(14)aw(1)rqnt(1)fip(1)ti(2),https://mc.yandex.com/watch/30044669/1?wmode=7&page-url=https%3A%2F%2Fwww.rosdistant.ru%2F&charset=utf-8&browser-info=pv%3A1%3Agdpr%3A14%3Avf%3Anw88wxnrj5w8iczvgmbc%3Afp%3A8395%3Afu%3A0%3Aen%3Autf-8%3Ala%3Aen-US%3Av%3A802%3Acn%3A1%3Adp%3A0%3Als%3A1272677442971%3Ahid%3A1065941655%3Az%3A-420%3Ai%3A20220518121909%3Aet%3A1652901550%3Ac%3A1%3Arn%3A52819830%3Arqn%3A1%3Au%3A1652901550804363833%3Aw%3A1354x683%3As%3A1366x768x24%3Ask%3A1%3Ahdl%3A1%3Ans%3A1652901537869%3Ads%3A208%2C659%2C587%2C0%2C1511%2C0%2C%2C6683%2C18%2C%2C%2C%2C9654%3Awv%3A2%3Aco%3A0%3Afip%3Aa81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-4bd84c89c35a312599d807af285e7b5f-ecc5835ead462bcb01f5b391dbba884e-5b56a9f28e63b1a76c5f94a136cc484e-61b9878bbce18de73aafc8582a198c0c-fc553f3f5a36936329305c4fd995c3e9-a81f3b9bcdd80a361c14af38dc09b309-5cbccea2ed3dd5c7a75380ef1cbfadf6-87f2ecdbff337b451a3c33faac458abd%3Arqnl%3A1%3Ast%3A1652901550%3At%3A%D0%A0%D0%BE%D1%81%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%82%20-%20%D0%B2%D1%8B%D1%81%D1%88%D0%B5%D0%B5%20%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE&t=gdpr%2814%29aw%281%29rqnt%281%29fip%281%29ti%282%29,https://mc.yandex.com/watch/30044669,https://mc.yandex.com/watch/30044669/1
278,278,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id
279,279,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id
280,280,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id
281,281,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id
282,282,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id
283,283,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,https://googleads.g.doubleclick.net/pagead/id,https://googleads.g.doubleclick.net/pagead/id
284,284,https://dollsclub.de/,https://www.dollsclub.de/,https://dollsclub.de/,https://www.dollsclub.de/
285,285,https://mc.yandex.com/watch/30044669?page-url=https%3A%2F%2Fwww.rosdistant.ru%2Fupload%2FSoglasie_PD.pdf&page-ref=https%3A%2F%2Fwww.rosdistant.ru%2F&charset=utf-8&browser-info=dl%3A1%3Agdpr%3A14%3Avf%3Anw88wxnrj5w8iczvgmbc%3Afu%3A3%3Aen%3Autf-8%3Ala%3Aen-US%3Av%3A802%3Acn%3A1%3Adp%3A0%3Als%3A1272677442971%3Ahid%3A1065941655%3Az%3A-420%3Ai%3A20220518121923%3Aet%3A1652901563%3Ac%3A1%3Arn%3A808108196%3Arqn%3A2%3Au%3A1652901550804363833%3Aw%3A1354x683%3As%3A1366x768x24%3Ask%3A1%3Ahdl%3A1%3Aeu%3A2%3Ans%3A1652901537869%3Ads%3A%2C%2C%2C%2C%2C%2C%2C%2C%2C17003%2C17003%2C1%2C%3Awv%3A2%3Aco%3A0%3Aadb%3A2%3Afip%3Aa81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-4bd84c89c35a312599d807af285e7b5f-ecc5835ead462bcb01f5b391dbba884e-5b56a9f28e63b1a76c5f94a136cc484e-61b9878bbce18de73aafc8582a198c0c-fc553f3f5a36936329305c4fd995c3e9-a81f3b9bcdd80a361c14af38dc09b309-5cbccea2ed3dd5c7a75380ef1cbfadf6-87f2ecdbff337b451a3c33faac458abd%3Arqnl%3A1%3Ast%3A1652901563%3At%3A%D1%83%D1%81%D0%BB%D0%BE%D0%B2%D0%B8%D1%8F%D0%BC%D0%B8&t=gdpr(14)aw(1)rqnt(2)ecs(1)fip(1)ti(2),https://mc.yandex.com/watch/30044669/1?page-url=https%3A%2F%2Fwww.rosdistant.ru%2Fupload%2FSoglasie_PD.pdf&page-ref=https%3A%2F%2Fwww.rosdistant.ru%2F&charset=utf-8&browser-info=dl%3A1%3Agdpr%3A14%3Avf%3Anw88wxnrj5w8iczvgmbc%3Afu%3A3%3Aen%3Autf-8%3Ala%3Aen-US%3Av%3A802%3Acn%3A1%3Adp%3A0%3Als%3A1272677442971%3Ahid%3A1065941655%3Az%3A-420%3Ai%3A20220518121923%3Aet%3A1652901563%3Ac%3A1%3Arn%3A808108196%3Arqn%3A2%3Au%3A1652901550804363833%3Aw%3A1354x683%3As%3A1366x768x24%3Ask%3A1%3Ahdl%3A1%3Aeu%3A2%3Ans%3A1652901537869%3Ads%3A%2C%2C%2C%2C%2C%2C%2C%2C%2C17003%2C17003%2C1%2C%3Awv%3A2%3Aco%3A0%3Aadb%3A2%3Afip%3Aa81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-4bd84c89c35a312599d807af285e7b5f-ecc5835ead462bcb01f5b391dbba884e-5b56a9f28e63b1a76c5f94a136cc484e-61b9878bbce18de73aafc8582a198c0c-fc553f3f5a36936329305c4fd995c3e9-a81f3b9bcdd80a361c14af38dc09b309-5cbccea2ed3dd5c7a75380ef1cbfadf6-87f2ecdbff337b451a3c33faac458abd%3Arqnl%3A1%3Ast%3A1652901563%3At%3A%D1%83%D1%81%D0%BB%D0%BE%D0%B2%D0%B8%D1%8F%D0%BC%D0%B8&t=gdpr%2814%29aw%281%29rqnt%282%29ecs%281%29fip%281%29ti%282%29,https://mc.yandex.com/watch/30044669,https://mc.yandex.com/watch/30044669/1
286,286,https://mc.yandex.com/watch/30044669?wmode=7&page-url=https%3A%2F%2Fwww.rosdistant.ru%2Fhow%2F&page-ref=https%3A%2F%2Fwww.rosdistant.ru%2F&charset=utf-8&browser-info=pv%3A1%3Agdpr%3A14%3Avf%3Anw88wxnrj5w8iczvgmbc%3Afp%3A3690%3Afu%3A0%3Aen%3Autf-8%3Ala%3Aen-US%3Av%3A802%3Acn%3A1%3Adp%3A0%3Als%3A1272677442971%3Ahid%3A196187117%3Az%3A-420%3Ai%3A20220518121928%3Aet%3A1652901569%3Ac%3A1%3Arn%3A868967180%3Arqn%3A3%3Au%3A1652901550804363833%3Aw%3A1354x683%3As%3A1366x768x24%3Ask%3A1%3Ahdl%3A1%3Ans%3A1652901564824%3Ads%3A0%2C419%2C384%2C0%2C-1%2C0%2C%2C2847%2C2%2C%2C%2C%2C3702%3Awv%3A2%3Aco%3A0%3Aadb%3A2%3Afip%3Aa81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-4bd84c89c35a312599d807af285e7b5f-ecc5835ead462bcb01f5b391dbba884e-5b56a9f28e63b1a76c5f94a136cc484e-61b9878bbce18de73aafc8582a198c0c-fc553f3f5a36936329305c4fd995c3e9-a81f3b9bcdd80a361c14af38dc09b309-5cbccea2ed3dd5c7a75380ef1cbfadf6-87f2ecdbff337b451a3c33faac458abd%3Arqnl%3A1%3Ast%3A1652901569%3At%3A%D0%9A%D0%B0%D0%BA%20%D1%83%D1%87%D0%B8%D1%82%D1%8C%D1%81%D1%8F%20%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%20%7C%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8%20%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B2%20%D0%A0%D0%BE%D1%81%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%82&t=gdpr(14)aw(1)rqnt(1)fip(1)ti(2),https://mc.yandex.com/watch/30044669/1?wmode=7&page-url=https%3A%2F%2Fwww.rosdistant.ru%2Fhow%2F&page-ref=https%3A%2F%2Fwww.rosdistant.ru%2F&charset=utf-8&browser-info=pv%3A1%3Agdpr%3A14%3Avf%3Anw88wxnrj5w8iczvgmbc%3Afp%3A3690%3Afu%3A0%3Aen%3Autf-8%3Ala%3Aen-US%3Av%3A802%3Acn%3A1%3Adp%3A0%3Als%3A1272677442971%3Ahid%3A196187117%3Az%3A-420%3Ai%3A20220518121928%3Aet%3A1652901569%3Ac%3A1%3Arn%3A868967180%3Arqn%3A3%3Au%3A1652901550804363833%3Aw%3A1354x683%3As%3A1366x768x24%3Ask%3A1%3Ahdl%3A1%3Ans%3A1652901564824%3Ads%3A0%2C419%2C384%2C0%2C-1%2C0%2C%2C2847%2C2%2C%2C%2C%2C3702%3Awv%3A2%3Aco%3A0%3Aadb%3A2%3Afip%3Aa81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-a81f3b9bcdd80a361c14af38dc09b309-4bd84c89c35a312599d807af285e7b5f-ecc5835ead462bcb01f5b391dbba884e-5b56a9f28e63b1a76c5f94a136cc484e-61b9878bbce18de73aafc8582a198c0c-fc553f3f5a36936329305c4fd995c3e9-a81f3b9bcdd80a361c14af38dc09b309-5cbccea2ed3dd5c7a75380ef1cbfadf6-87f2ecdbff337b451a3c33faac458abd%3Arqnl%3A1%3Ast%3A1652901569%3At%3A%D0%9A%D0%B0%D0%BA%20%D1%83%D1%87%D0%B8%D1%82%D1%8C%D1%81%D1%8F%20%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%20%7C%20%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8%20%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B2%20%D0%A0%D0%BE%D1%81%D0%B4%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D1%82&t=gdpr%2814%29aw%281%29rqnt%281%29fip%281%29ti%282%29,https://mc.yandex.com/watch/30044669,https://mc.yandex.com/watch/30044669/1
