,old_request_domains,new_request_domains
871,googleads.g.doubleclick.net,googleads.g.doubleclick.net
872,c.amazon-adsystem.com,
873,happyinshape.com,www.happyinshape.com
874,www.kucherslandhotel.de,www.kucherslandhotel.de
875,d.adroll.com,s.adroll.com
876,c.amazon-adsystem.com,
877,widget.intercom.io,js.intercomcdn.com
878,holidappy.com,images.saymedia-content.com
879,googleads.g.doubleclick.net,googleads.g.doubleclick.net
880,www.google.com,googleads.g.doubleclick.net
881,fw.adsafeprotected.com,static.adsafeprotected.com
882,ib.adnxs.com,ib.adnxs.com
883,u.openx.net,u.openx.net
884,ib.adnxs.com,ib.adnxs.com
885,tags.bluekai.com,tag-api-2-1.ccgateway.net
886,loadeu.exelator.com,loadeu.exelator.com
887,sync.crwdcntrl.net,sync.crwdcntrl.net
888,sync.crwdcntrl.net,tag-api-2-1.ccgateway.net
889,secure.adnxs.com,secure.adnxs.com
890,secure.adnxs.com,tag-api-2-1.ccgateway.net
891,c.amazon-adsystem.com,
892,loadeu.exelator.com,loadeu.exelator.com
893,loadeu.exelator.com,loadeu.exelator.com
894,tags.bluekai.com,tag-api-2-1.ccgateway.net
895,sync.crwdcntrl.net,sync.crwdcntrl.net
896,sync.crwdcntrl.net,tag-api-2-1.ccgateway.net
897,secure.adnxs.com,secure.adnxs.com
898,ib.adnxs.com,ib.adnxs.com
899,ib.adnxs.com,ib.adnxs.com
900,ssc-cms.33across.com,de.tynt.com
901,ssc-cms.33across.com,events-ssc.33across.com
902,cm.g.doubleclick.net,cm.g.doubleclick.net
903,cm.g.doubleclick.net,cm.g.doubleclick.net
904,x.bidswitch.net,x.bidswitch.net
905,eb2.3lift.com,eb2.3lift.com
906,eb2.3lift.com,eb2.3lift.com
907,secure.adnxs.com,tag-api-2-1.ccgateway.net
908,cm.g.doubleclick.net,bh.contextweb.com
909,holidappy.com,images.saymedia-content.com
910,pixel-sync.sitescout.com,pixel-sync.sitescout.com
911,pulsepoint-match.dotomi.com,pulsepoint-match.dotomi.com
912,dsum.casalemedia.com,dsum.casalemedia.com
913,us-u.openx.net,us-u.openx.net
914,rtb.gumgum.com,match.justpremium.com
915,match.prod.bidr.io,match.prod.bidr.io
916,px.owneriq.net,px.owneriq.net
917,loadeu.exelator.com,loadeu.exelator.com
918,s.ad.smaato.net,s.ad.smaato.net
919,pixel.advertising.com,pixel.advertising.com
920,happyinshape.com,www.happyinshape.com
921,c.amazon-adsystem.com,
922,match.prod.bidr.io,bh.contextweb.com
923,secure.adnxs.com,secure.adnxs.com
924,sync.outbrain.com,usersync.gumgum.com
925,us-u.openx.net,us-u.openx.net
926,i.liadm.com,i.liadm.com
927,cm.g.doubleclick.net,cm.g.doubleclick.net
928,sync.mathtag.com,usersync.gumgum.com
929,www.maoken.com,www.maoken.com
930,secure.adnxs.com,usersync.gumgum.com
931,pr-bh.ybp.yahoo.com,rtb.gumgum.com
932,match.adsrvr.org,match.adsrvr.org
933,sync-tm.everesttech.net,sync-tm.everesttech.net
934,us-u.openx.net,usersync.gumgum.com
935,i.liadm.com,i6.liadm.com
936,sync.srv.stackadapt.com,rtb.gumgum.com
937,happyinshape.com,www.happyinshape.com
